"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,112","6.4","Q1","1.51","19.42"%,
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,008","6.3","Q1","1.99","45.95"%,
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,788","6.2","Q1","1.62","8.2"%,
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","30,593","6","Q1","1.65","12.75"%,
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,485","5.7","Q1","2.28","54.55"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,722","5.7","Q1","2.2","100"%,
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,714","5.6","Q1","1.54","6.59"%,
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,971","5.5","Q1","1.63","1.24"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","SAGE PUBLICATIONS LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,730","5.4","Q1","1.39","40.79"%,
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,334","5.1","Q1","1.42","16.07"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","13,881","5.1","Q1","1.33","0.36"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,300","5.1","Q1","0.82","100"%,
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,721","4.7","Q1","1.55","36.84"%,
"Telematics and Informatics Reports","TELEMAT INFORM REP","ELSEVIER","N/A","2772-5030","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","551","4.7","Q1","1.36","98.18"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","16,125","4.6","Q1","1.24","28.59"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,071","4.3","Q1","0.53","47.21"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,603","4","Q1","3.09","70.52"%,
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,990","3.9","Q1","1.26","98.01"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,043","3.8","Q1","0.88","7.69"%,
"Quantitative Science Studies","QUANT SCI STUD","MIT PRESS","N/A","2641-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,739","3.5","Q1","1.23","100"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,022","3.5","Q1","0.92","4.41"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,854","3.5","Q1","0.9","15.6"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","21,943","3.5","Q1","0.86","34.18"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,217","3.4","Q1","1.06","99.18"%,
"Pacific Asia Journal of the Association for Information Systems","PAC ASIA J ASSOC INF","ASSOC INFORMATION SYSTEMS","1943-7536","1943-7544","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","375","3.3","Q1","0.63","1.59"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,458","3.1","Q1","0.85","3.2"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,666","3","Q1","1.17","30.88"%,
"Journal of Web Librarianship","J WEB LIBRARIANSH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-2909","1932-2917","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","164","3","Q1","0.7","4"%,
"VINE Journal of Information and Knowledge Management Systems","VINE J INF KNOWL MAN","EMERALD GROUP PUBLISHING LTD","2059-5891","2059-5905","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,293","2.9","Q1","0.83","4"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,552","2.9","Q1","0.76","0"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","888","2.9","Q1","0.66","12.09"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,748","2.7","Q2","0.9","27.39"%,
"Digital Policy Regulation and Governance","DIGIT POLICY REGUL G","EMERALD GROUP PUBLISHING LTD","2398-5038","2398-5046","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","683","2.7","Q2","0.76","7.44"%,
"Information Discovery and Delivery","INF DISCOV DELIV","EMERALD GROUP PUBLISHING LTD","2398-6247","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","521","2.6","Q2","0.82","6.54"%,
"Transforming Government- People Process and Policy","TRANSFORM GOV-PEOPLE","EMERALD GROUP PUBLISHING LTD","1750-6166","1750-6174","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","933","2.6","Q2","0.75","15.49"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","532","2.6","Q2","0.72","2.56"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","339","2.6","Q2","0.64","16.46"%,
"Publications","PUBLICATIONS-BASEL","MDPI","N/A","2304-6775","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,226","2.5","Q2","1.04","100"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,902","2.5","Q2","0.79","43.66"%,
"Journal of the Canadian Health Libraries Association","J CAN HEALTH LIBRARI","CANADIAN HEALTH LIBRARIES ASSOC","1708-6892","1708-6892","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","256","2.5","Q2","0.34","100"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,852","2.4","Q2","1.09","14.45"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","17,055","2.4","Q2","0.96","43.39"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,274","2.4","Q2","0.76","48.84"%,
"Global Knowledge Memory and Communication","GLOB KNOWL MEM COMMU","EMERALD GROUP PUBLISHING LTD","2514-9342","2514-9350","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,177","2.4","Q2","0.73","3.33"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,634","2.3","Q2","0.79","17.58"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,505","2.3","Q2","0.73","16.36"%,
"New Review of Academic Librarianship","NEW REV ACAD LIBR","TAYLOR & FRANCIS LTD","1361-4533","1740-7834","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","328","2.3","Q2","0.54","22.39"%,
"Information and Learning Sciences","INFORM LEARN SCI","EMERALD GROUP PUBLISHING LTD","2398-5348","2398-5356","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","658","2.2","Q2","0.63","5.98"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,578","2.1","Q2","0.64","10.34"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,471","2.1","Q2","0.49","18.4"%,
"ARCHIVAL SCIENCE","ARCH SCI-NETHERLANDS","SPRINGER","1389-0166","1573-7500","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","882","2.1","Q2","0.44","46.91"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,341","2","Q2","0.5","16.8"%,
"World Patent Information","WORLD PAT INF","ELSEVIER","0172-2190","1874-690X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","877","1.9","Q2","0.56","22.95"%,
"Performance Measurement and Metrics","PERFORM MEAS METR","EMERALD GROUP PUBLISHING LTD","1467-8047","1758-6925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","356","1.9","Q2","0.29","0"%,
"Journal of Data and Information Science","J DATA INFO SCI","SCIENDO","2096-157X","2543-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","587","1.8","Q2","0.54","100"%,
"Information Polity","INFORM POLITY","IOS PRESS","1570-1255","1875-8754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","813","1.8","Q2","0.5","33.77"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,041","1.7","Q2","0.51","11.71"%,
"International Journal on Digital Libraries","INT J DIGIT LIBRARIE","SPRINGER","1432-5012","1432-1300","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","473","1.7","Q2","0.5","54.67"%,
"PUBLISHING RESEARCH QUARTERLY","PUBLISH RES Q","SPRINGER","1053-8801","1936-4792","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","388","1.7","Q2","0.46","25.27"%,
"Public Library Quarterly","PUBLIC LIBR Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0161-6846","1541-1540","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","485","1.6","Q2","0.49","9.91"%,
"Frontiers in Research Metrics and Analytics","FRONT RES METR ANAL","FRONTIERS MEDIA SA","N/A","2504-0537","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","783","1.6","Q2","0.41","100"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","1532-0936","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","965","1.5","Q2","0.6","1.43"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","474","1.5","Q2","0.48","3.81"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,164","1.5","Q2","0.48","1.56"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","796","1.5","Q2","0.48","0"%,
"International Journal of Electronic Government Research","INT J ELECTRON GOV R","IGI GLOBAL","1548-3886","1548-3894","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","312","1.5","Q2","0.46","41.94"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,116","1.4","Q2","0.65","29.13"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,181","1.4","Q2","0.41","4.17"%,
"Library Management","LIBR MANAGE","EMERALD GROUP PUBLISHING LTD","0143-5124","1758-7921","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","737","1.4","Q2","0.38","9.73"%,
"IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS","IFLA J-INT FED LIBR","SAGE PUBLICATIONS INC","0340-0352","1745-2651","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","608","1.4","Q2","0.35","17.61"%,
"Journal of Business & Finance Librarianship","J BUS FINANC LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0896-3568","1547-0644","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","239","1.4","Q2","0.33","2.04"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,879","1.3","Q2","0.64","35.82"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","404","1.3","Q2","0.4","98.46"%,
"Technical Services Quarterly","TECH SERV Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0731-7131","1555-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","179","1.3","Q2","0.28","4.11"%,
"Insights-The UKSG Journal","INSIGHTS","UBIQUITY PRESS LTD","2048-7754","2048-7754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","276","1.3","Q2","0.24","86.67"%,
"Digital Library Perspectives","DIGIT LIBR PERSPECT","EMERALD GROUP PUBLISHING LTD","2059-5816","2054-1694","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","278","1.2","Q3","0.39","7.07"%,
"Communications in Information Literacy","COMMUN INF LIT","COMMUNICATIONS INFORMATION LITERACY","1933-5954","1933-5954","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","295","1.1","Q3","0.28","46.34"%,
"Journal of Information & Knowledge Management","J INF KNOWL MANAG","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6492","1793-6926","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","606","1","Q3","0.3","0.98"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","501","1","Q3","0.3","3.13"%,
"Cataloging & Classification Quarterly","CAT CLASSIF Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0163-9374","1544-4554","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","520","1","Q3","0.27","17.2"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","180","1","Q3","0.22","30.43"%,
"Information Resources Management Journal","INF RESOUR MANAG J","IGI GLOBAL","1040-1628","1533-7979","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","295","0.9","Q3","0.33","31.58"%,
"Journal of Library Administration","J LIBR ADM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0193-0826","1540-3564","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","683","0.9","Q3","0.31","7.29"%,
"South African Journal of Information Management","S AFR J INFORM MANAG","AOSIS","2078-1865","1560-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","376","0.9","Q3","0.3","100"%,
"Journal of Scientometric Research","J SCIENTOMETR RES","PHCOG NET","2321-6654","2320-0057","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","373","0.9","Q3","0.25","84.97"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","644","0.9","Q3","0.22","0"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","349","0.9","Q3","0.22","93.18"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","Univ Boras, Swedish School Library and Information Science","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,080","0.9","Q3","0.21","98.51"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","288","0.9","Q3","0.2","2.86"%,
"International Journal of Technology and Human Interaction","INT J TECHNOL HUM IN","IGI GLOBAL","1548-3908","1548-3916","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","232","0.9","Q3","0.17","98.53"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,805","0.9","Q3","0.03","0"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","193","0.8","Q3","1.06","4.76"%,
"Collnet Journal of Scientometrics and Information Management","COLLNET J SCIENTOMET","TARU PUBLICATIONS","0973-7766","2168-930X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","229","0.8","Q3","0.34","0"%,
"EDUCATION FOR INFORMATION","EDUC INFORM","IOS PRESS","0167-8329","1875-8649","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,505","0.8","Q3","0.3","7.69"%,
"LIBRI-International Journal of Libraries and Information Studies","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","438","0.8","Q3","0.26","44.3"%,
"Collection and Curation","COLLECT CURATION","EMERALD GROUP PUBLISHING LTD","2514-9326","2514-9326","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","87","0.8","Q3","0.22","19.57"%,
"Evidence Based Library and Information Practice","EVID BASED LIB INF P","UNIV ALBERTA","1715-720X","1715-720X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","374","0.8","Q3","0.15","98.95"%,
"BiD-Textos Universitaris de Biblioteconomia i Documentacio","BID-TEXTOS UNIV BIBL","UNIV BARCELONA, SERVEI PUBLICACIONS","1575-5886","1575-5886","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","90","0.8","Q3","0.05","94.44"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","31","0.8","Q3","0.02","0"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","92","0.7","Q3","1.24","0"%,
"Records Management Journal","REC MANAG J","EMERALD GROUP PUBLISHING LTD","0956-5698","1758-7689","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","274","0.7","Q3","0.26","10.87"%,
"JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES","J INFORM OPTIM SCI","TARU PUBLICATIONS","0252-2667","2169-0103","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","758","0.7","Q3","0.25","0"%,
"Electronic Government- an International Journal","ELECTRON GOV-INT J","INDERSCIENCE ENTERPRISES LTD","1740-7494","1740-7508","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","69","0.7","Q3","0.24","2.08"%,
"DESIDOC Journal of Library & Information Technology","DESIDOC J LIB INF TE","DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE","0974-0643","0976-4658","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","409","0.7","Q3","0.21","38.73"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","WESTERN LIBRARIES","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","140","0.7","Q3","0.19","84.31"%,
"International Journal of E-Adoption","INT J E-ADOPT","IGI GLOBAL","1937-9633","1937-9641","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","61","0.6","Q3","0.28","37.93"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","94","0.6","Q3","0.23","98.72"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","115","0.6","Q3","0.15","0"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","189","0.6","Q3","0.13","88.42"%,
"Archives and Manuscripts","ARCH MANUSCR","Australian Society Archivists Inc","0157-6895","2164-6058","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","246","0.5","Q3","0.25","84.38"%,
